CZ_KM,DE_KM,EE_KM,LT_KM,LV_KM,PL_KM,SE_KM,SK_KM,COMPANY_LP,ADRESS_LP,COD_LP,CITY_LP,START_LOAD_DATA,START_LOAD_TIME,END_LOAD_DATA,END_LOAD_TIME,COMPANY_DP,ADRESS_DP,COD_DP,CITY_DP,START_DELIVERY_DATA,START_DELIVERY_TIME,END_DELIVERY_DATA,END_DELIVERY_TIME,VEHICLE_TYPE,BODY_TYPE,LOAD_UNLOAD_METHOD,EPALE,GOODS_TYPE,TEMP_MIN,TEMP_MAX,EURO,LDM,TONS,OTHER_COSTS,QTY_LOADS,QTY_DELIVERIES,SOURCE,PAYMENT_TERM,CARGO_VALUE_EURO
169.30,,,,,,,74.00,,,CZ57001,,31.03.2021,16:00:00,31.03.2021,,,,SK82106,,01.04.2021,08:00:00,01.04.2021,08:00:00,"Rigid truck, Articulated truck",Refrigerator,Back,,Other,,,350.00,13.60,6.00,,1.00,1.00,,,
,,,,,378.70,,,,,PL66470,,01.04.2021,06:00:00,01.04.2021,,,,PL49318,,02.04.2021,02:00:00,02.04.2021,02:00:00,"Rigid truck, Articulated truck","Box, Thermo, Tautliner, Mega, Refrigerator, Curtain",Back,,Other,,,324.40,13.60,22.00,,1.00,1.00,,,
206.10,,,,,164.40,,,,,CZ69123,,02.04.2021,06:00:00,02.04.2021,,,,PL46043,,06.04.2021,06:00:00,06.04.2021,06:00:00,"Rigid truck, Articulated truck","Box, Thermo, Tautliner, Mega, Refrigerator, Curtain",Back,,Other,,,250.00,13.60,2.30,,1.00,1.00,,,
478.00,,,,,244.50,,,,,PL98405,,06.04.2021,10:00:00,06.04.2021,,,,CZ39002,,07.08.2021,,08.08.2021,,"Rigid truck, Articulated truck","Box, Thermo, Tautliner, Mega, Refrigerator, Curtain",Back,,,,,980.46,13.60,22.00,,1.00,6.00,,,
382.30,,,,,136.00,,,,,PL41800,,07.04.2021,17:00:00,07.04.2021,,,,PL41700,,08.08.2021,,08.08.2021,,"Rigid truck, Articulated truck","Box, Thermo, Tautliner, Mega, Refrigerator, Curtain",Back,,,,,550.00,13.60,22.00,,3.00,3.00,,,
,242.60,,,,251.60,,,,,DE06749,,08.04.2021,,08.04.2021,,,,PL57500,,09.04.2021,,13.04.2021,,"Rigid truck, Articulated truck","Tautliner, Mega, Curtain",Back,,,,,350.00,13.60,24.00,,1.00,1.00,,,
,28.60,,,,473.60,,,,,DE15890,,08.04.2021,,08.04.2021,,,,PL00001,,09.04.2021,,09.04.2021,,"Rigid truck, Articulated truck",Curtain,Back,,,,,400.00,13.60,24.00,,1.00,1.00,,,
,233.80,,,,328.70,,,,,DE07545,,08.04.2021,,08.04.2021,,,,PL41700,,09.04.2021,,09.04.2021,22:00:00,Articulated truck,"Refrigerator, Curtain",Back,,,,,700.00,13.60,10.00,,1.00,1.00,,,
,640.30,,,,397.80,,,,,DE44787,,08.04.2021,,08.04.2021,,,,PL43300,,08.04.2021,,08.04.2021,,"Rigid truck, Articulated truck",Curtain,Back,,,,,1400.00,13.60,24.00,,1.00,1.00,,,
,353.40,,,,380.50,,,,,DE99755,,08.04.2021,,08.04.2021,,,,PL43410,,09.04.2021,,09.04.2021,,"Rigid truck, Articulated truck",Curtain,Back,,,,,550.00,13.60,10.00,,1.00,1.00,,,
146.10,141.40,,,,,,,,,CZ25163,,08.04.2021,,08.04.2021,,,,DE04347,,09.04.2021,,09.04.2021,,"Rigid truck, Articulated truck","Box, Thermo, Tautliner, Mega, Refrigerator, Curtain",Back,,,,,380.00,13.60,15.00,,1.00,1.00,,,
,,,,,682.10,107.70,,,,PL43150,,09.04.2021,20:00:00,09.04.2021,,,,SE26538,,12.04.2021,08:00:00,12.04.2021,08:00:00,"Rigid truck, Articulated truck",Refrigerator,Back,,,,,1570.00,13.60,22.50,-298.00,1.00,1.00,,,
381.00,81.50,,,,,,131.30,,,DE01623,,09.04.2021,,09.04.2021,,,,SK92601,,12.04.2021,06:00:00,12.04.2021,12:00:00,"Rigid truck, Articulated truck",Refrigerator,Back,,,,,600.00,13.60,21.75,,1.00,1.00,,,
,686.60,,,,36.40,,,,,PL59800,,09.04.2021,,09.04.2021,,,,DE53881,,12.04.2021,,13.04.2021,,"Rigid truck, Articulated truck","Thermo, Curtain",Back,,,,,750.00,13.60,18.00,,1.00,1.00,,,
,620.80,,,,174.10,,,,,PL67100,,09.04.2021,,10.04.2021,,,,DE86470,,12.04.2021,,12.04.2021,,"Rigid truck, Articulated truck","Thermo, Tautliner, Refrigerator, Curtain",Back,,,,,850.00,13.60,15.00,,1.00,1.00,,,
,586.40,,,,339.10,,,,,DE64283,,09.04.2021,,09.04.2021,,,,PL40001,,12.04.2021,,12.04.2021,,"Rigid truck, Articulated truck","Thermo, Refrigerator, Curtain",Back,,,,,700.00,13.60,20.00,,1.00,1.00,,,
